m,r1,r2,mrec_map,mrec_ml,N0
1,-1.003,0.475,1,1,0.25
3,0.901,0.379,0,0,0.25
3,1.343,-0.765,3,3,0.25
3,0.814,-0.994,3,3,0.25
1,-0.666,1.431,1,1,0.25
3,1.04,-0.544,3,3,0.25
1,-0.46,1.085,1,1,0.25
0,1.12,0.922,0,0,0.25
3,0.176,-1.014,3,3,0.25
1,-0.956,0.168,1,1,0.25
1,-0.909,0.948,1,1,0.25
1,-0.813,-0.028,1,2,0.25
3,0.808,-0.652,3,3,0.25
3,0.84,-1.273,3,3,0.25
0,-0.019,0.877,1,1,0.25
2,-0.629,-0.436,2,2,0.25
2,-0.443,-0.798,2,2,0.25
3,1.441,-1.114,3,3,0.25
1,-0.38,0.392,1,1,0.25
1,-0.428,0.891,1,1,0.25
1,-1.289,0.7,1,1,0.25
1,-0.302,0.848,1,1,0.25
0,1.027,0.309,0,0,0.25
3,0.782,-0.613,3,3,0.25
1,-0.685,0.613,1,1,0.25
1,-0.197,0.519,1,1,0.25
1,-0.832,1.214,1,1,0.25
1,-0.884,0.759,1,1,0.25
1,-0.653,0.952,1,1,0.25
1,-0.493,0.666,1,1,0.25
1,-0.133,0.59,1,1,0.25
1,-0.65,0.703,1,1,0.25
2,-0.962,-1.049,2,2,0.25
1,-0.796,0.73,1,1,0.25
3,0.267,-0.635,3,3,0.25
2,-0.254,-1.232,2,2,0.25
0,0.611,0.195,0,0,0.25
3,0.559,-1.563,3,3,0.25
3,0.541,-0.763,3,3,0.25
3,0.691,-0.394,3,3,0.25
3,1.279,-0.996,3,3,0.25
3,1.529,-0.614,3,3,0.25
1,-0.757,0.311,1,1,0.25
3,0.797,-0.661,3,3,0.25
0,0.859,-0.056,3,3,0.25
2,-0.993,-0.939,2,2,0.25
1,-0.136,1.089,1,1,0.25
1,-0.993,1.417,1,1,0.25
1,-0.667,0.658,1,1,0.25
3,0.57,-1.097,3,3,0.25
1,-0.647,0.598,1,1,0.25
3,0.451,-0.771,3,3,0.25
1,-0.816,0.619,1,1,0.25
1,-1.053,1.159,1,1,0.25
3,0.997,-0.804,3,3,0.25
3,0.441,-0.311,3,3,0.25
2,-1.289,-0.711,2,2,0.25
1,-0.412,0.673,1,1,0.25
3,0.663,-0.723,3,3,0.25
3,0.964,-0.25,3,3,0.25
2,-0.688,-0.979,2,2,0.25
1,-1.033,0.513,1,1,0.25
2,-1,-1.142,2,2,0.25
0,0.344,1.145,0,0,0.25
3,0.631,-1.418,3,3,0.25
1,-0.489,1.494,1,1,0.25
3,0.721,-0.883,3,3,0.25
1,-1.11,0.999,1,1,0.25
3,0.977,-0.912,3,3,0.25
1,-0.581,1.186,1,1,0.25
3,1.419,-0.628,3,3,0.25
3,0.602,-0.899,3,3,0.25
3,-0.216,-0.146,2,2,0.25
1,-1.423,1.252,1,1,0.25
3,0.36,-1.326,3,3,0.25
2,-0.569,-1.029,2,2,0.25
2,-0.686,-0.243,2,2,0.25
3,1.025,-0.333,3,3,0.25
2,-0.74,-0.507,2,2,0.25
1,-0.736,0.386,1,1,0.25
1,-0.908,0.567,1,1,0.25
1,-0.494,0.729,1,1,0.25
3,1.105,-0.157,3,3,0.25
3,0.994,-0.973,3,3,0.25
3,0.735,-0.692,3,3,0.25
2,-0.695,-1.096,2,2,0.25
2,-0.773,-0.183,2,2,0.25
2,-0.64,-0.254,2,2,0.25
1,-0.345,0.757,1,1,0.25
2,-1.083,-1.306,2,2,0.25
0,0.137,0.682,1,0,0.25
1,-0.935,0.21,1,1,0.25
2,-0.371,-0.333,2,2,0.25
3,0.683,-0.757,3,3,0.25
0,1.052,0.772,0,0,0.25
3,0.529,-0.908,3,3,0.25
3,0.817,-0.544,3,3,0.25
3,0.873,-1.24,3,3,0.25
